"","unlist.questions."
"5156","본인의 장단점은 무엇인가?"
"5157","살면서 가장 높게 잡은 목표가 무엇이었나?"
"5158","여가생활에는 무엇을 하나?"
"5159","자기소개를 해보세요"
"5160","토익점수가 왜 이렇게 낮은가?"
"5161","학생회장 하면서 가장 힘들었던 게 무엇인가?"
"5162","학점이 왜 이렇게 낮은가?"
"5163","학창시절에 가장 크게 느꼈던 갈등이 무엇인가? 어떻게 갈등을 풀었나?"
"5164","1년 후 만약 죽게 된다면 그동안 무슨 일을 해보고 싶은지 영어로 표현해보세요"
"5165","다른 곳에서도 근무할 수 있는가?"
"5166","롤모델이나 존경하는 사람은 누구인가?"
"5167","생산관리가 무엇인지 말해보세요"
"5168","생산관리를 지원한 이유는 무엇인가?"
"5169","생산관리에서 무슨 일을 하는지 아는가?"
"5170","실제로 어떤 제품을 생산하는지 아는가?"
"5171","아르바이트나 인턴 경험에서 느낀 점을 말해보세요"
"5172","우리 회사에 지원한 이유는 무엇인가?"
"5173","내 생애 가장 열정적 순간은?"
"5174","자기소개를 해보세요"
"5175","주변에서 본인을 어떻게 평가하는가?"
"5176","LG제품을 사용해 본적이 있는가?"
"5177","LG제품의 문제점은 무엇인가? 그 이유는 무엇인가?"
"5178","30초 자기소개해보세요"
"5179","담배소비를 줄이기 위한 담배가격 인상정책에 대해 영어로 토론해보세요"
"5180","배낭여행에서 가장 기억에 남는 것은 무엇인가?"
"5181","삼성과 LG의 3D TV 논란에 대해 어떻게 생각하는가?"
"5182","옵티머스가 어떻게 하면 갤럭시S를 이길수 있는가?"
"5183","중국에서 가장 존경하는 인물은?"
"5184","지원동기는?"
"5185","최근 LG화학이 중국에 많이 진출했는데 중국 시장 활로를 넓히기 위해 어떠한 전략이 필요한가?"
"5186","소통을 위해 무엇을 노력하나요?"
"5187","책임성을 위해 한 행동들은 무엇이 있나요?"
"5188","기업은 이윤을 창출하는게 목적인데 왜 사회공헌을 한다고 생각하나요?"
"5189","입사 후 하고 싶은 업무는 무엇인가요?"
"5190","퇴근 후에 하고 싶은 것들이 있다면?"
"5191","마지막으로 하고 싶은 말을 해보세요."
"5192","문제를 해결하기 위해 노력한 경험이 있나요?"
"5193","졸업 논문은 어떤 주제로 썼나요?"
"5194","단체활동을 했던 경험을 얘기해보세요"
"5195","창의적인 아이디어는 주로 어디서 어떤 방식으로 얻나요?"
"5196","프로젝트를 진행하면서 어려운 점을 어떻게 해결했나요?"
"5197","학교에서 어떤 프로젝트를 했나요?"
"5198","현대위아에 입사 후 회사를 위해 어떤 것을 할 수 있나요?"
"5199","대학에서 어떤 프로젝트를 진행했습니까?"
"5200","본인이 맡은 역할은 무엇이었습니까?"
"5201","살면서 가장 큰 갈등을 겪었던 적이 있습니까?"
"5202","자동차 엔진 공정과 모듈 공정을 비교하시오."
"5203","낚시의 장점은 무엇이라고 생각합니까?"
"5204","본인의 강점을 무엇이라고 생각합니까?"
"5205","중국의 성장에 대해 어떻게 대처해야 하는가?"
"5206","기획 말고 다른 직무로 간다면 어느 직무로 가고 싶은가?"
"5207","현대위아에서 제작하는 제품은 어떤 것이 있는지 말해보아라."
"5208","요즘 가장 관심 있는 이슈를 말해보시오."
"5209","생산관리와 품질관리의 차이점에 대해 이야기 해보시오."
"5210","요즘 가장 관심있는 이슈를 말해보시오."
"5211","인턴을 왜 지원하였습니까?"
"5212","자기소개를 해보시오."
"5213","전공과 직무의 연관성이 있습니까?"
"5214","그럼 우리 제품이 우수하지 않다고 생각하나요?"
"5215","왜 이직무를 선택했나"
"5216","전공이 자동차 쪽이 아닌데 왜 지원했는가?"
"5217","지원동기"
"5218","프로젝트 경험"
"5219","그 직무에 맞는 자신의 역량"
"5220","본인이 지금까지 해왔던 봉사활동 중 가장 가슴에 와닿은 것은?"
"5221","우리회사에 지원한 이유"
"5222","하고 싶은 구체적인 직무"
"5223","인생을 살면서 가장 창의적으로 실행했던 경험은?"
"5224","30초 자기소개"
"5225","동아리 활동 중에 가장 힘들었던 것은 무엇인가?"
"5226","마지막으로 하고 싶은 말이 있는가?"
"5227","자신에게 있어서 가장 도전적이었던 경험은 무엇인가?"
"5228","존경하는 인물은 누구인가? 그 이유는?"
"5229","비슷한 계열과 분야의 회사가 정말 많은데 왜 굳이 이 지원 분야에 지원하였는가?"
"5230","공작기계의 종류와 품질향상 방법에 대해 얘기해보라."
"5231","구체적으로 하고 싶은 일은 무엇인가?"
"5232","노조에 대해 어떻게 생각하는가?"
"5233","본인이 이 직무에 적합하다고 생각하는 이유는 무엇인가?"
"5234","부당한 일에 대한 지시를 받게 될 경우 어떻게 하겠는가?"
"5235","생활신조는 무엇인가?"
"5236","지원동기"
"5237","지원한 직무에서 활용할 수 있는 본인의 역량은 무엇인가?"
"5238","노조에 대해 어떻게 생각하는가?"
"5239","다른 회사에 지원하였는가?"
"5240","현대위아를 어떻게 알게 되었나"
"5241","미국의 양적완화가 앞으로 어떻게 진행될 지?"
"5242","송전탑 설치에 대한 지역주민의 반대 현상과 이에 대한 본인의 생각은?"
"5243","왜 자동차 기업에 지원했는지?"
"5244","다른 부서로 가는 건 어떻게 생각하세요?"
"5245","당사를 알게 된 계기는 무엇인가?"
"5246","만약 일년만 살게 된다면 무엇을 하겠는가?"
"5247","행복이란 무엇이라고 생각하는가?"
"5248","If you predecessor keeps calling you for coffee, what would you tell first?"
"5249","What do you think about smoking for women?"
"5250","What is your ultimate aim for the job in the long term?"
"5251","여자친구가 지방을 싫어한다면 어떻게 하시겠습니까?"
"5252","창원 공장의 주력 제품군은 무엇이며 공정 형태에 대해 설명해보시오"
"5253","품질 자격증을 취득하였는데, 가장 어려웠던 점은 무엇입니까?"
"5254","품질관리 중 가장 중요하다고 생각하는 것은 무엇입니까?"
"5255","현재, 공정 개선이 가장 필요할 것같은 제품은 무엇이라고 생각합니까?"
"5256","현재, 공정 개선이 가장 필요할 것같은 제품은 무엇이라고 생각합니까?"
"5257","일본어 어느정도 하나요?(일본어로 질문)"
"5258","고무에 대해 배워봤나요?"
"5259","타이어 공부한 것 중 기억나는 것에 대해 말해보세요."
"5260","분석 경험 중 가장 기억에 남는 것은?"
"5261","가장 인상깊었던 과목은?"
"5262","팀원과 갈등이 있었던 경험은?"
"5263","끊임 없이 도전하여 성과를 이뤄낸 경험이 있는가?"
"5264","우리 회사는 글로벌 기업인데 본인은 외국인 친구가 많은 편인가?"
"5265","연구개발 직무에서 일하며 디자이너와 갈등이 생긴다면 어떻게 해결할 것인가?"
"5266","타이어 종류를 아는 대로 말해보세요."
"5267","한국타이어의 발전 방향을 제안해보세요."
"5268","교환학생은 왜 다녀 왔나요?"
"5269","일과 라이프 밸런스에 대해 본인의 생각을 말해보세요."
"5270","본인이 채용될 것 같나요?"
"5271","어학성적이 좋은데 어떻게 공부했나요?"
"5272","어학연수 경험이 있는데 토익점수가 낮다고 생각하지 않나요?"
"5273","좋아하는 전공과목과 그 이유를 말해보세요"
"5274","지방근무도 가능한가요?"
"5275","지원한 다른 기업에는 왜 탈락한 것 같나요?"
"5276","현재 다른회사에 지원한 곳이 있나요?"
"5277","형제가 있다면 사이가 어떠한가요?"
"5278","자신의 성격에 대해 말해주세요."
"5279","한국타이어를 선택한 이유가 무엇인가요?"
"5280","회사에서 직장 동료와 좋지 않은 일이있서 서로 서먹서먹하다면 어떻게 하겠습니까?"
"5281","어려웠던 경험에 대해 말해보세요."
"5282","운동을 꾸준히 하게 된 이유를 말해보세요."
"5283","지원한 직무에서 필요한 자질을 무엇이라 생각하나요?"
"5284","세계 메이저 기업(미쉐린, 브릿지스톤 콘티넨탈 등)을 따라잡기 위해서 어떻게 해야겠나?"
"5285","자신의 장점을 두개 말하시오"
"5286","학교를 오래다녀서 장단점은 무엇인가?"
"5287","힘들었던 경험을 말해보시오"
"5288","본인의 작품 중 창의적인 작품을 설명해보시오"
"5289","10년 후 한국타이어에서 무슨 일을 하고 있을 것 같은가?"
"5290","두 분의 성향 중 어떤 성향이 본 직무를 수행하는데 더 맞다고 생각하는가?"
"5291","아버지, 어머니는 어떤 분이신가?"
"5292","영업이란 무엇인가?"
"5293","지원직무 분야가 전공과 관련이 없는데 그 이유는 무엇인가?"
"5294","학과가 영업과는 무관한데 지원한 이유는?"
"5295","다른 회사 어디 면접봤는가?"
"5296","스포츠 타이어가 갖추어야 할 조건은?"
"5297","좋아하는 전공, 싫어하는 전공은 무엇인가?"
"5298","타이어는 앞으로 어떻게 발전해야 하는가"
"5299","한국타이어에 지원한 이유는 무엇인가?"
"5300","군 장교 출신인데 왜 전역하게 되었나?"
"5301","군에서 구성원들을 변화시키기가 어려웠을 것으로 생각되는데, 조직의 변화를 이끌어 낸 사례를 말해보라"
"5302","군에서 물류를 담당했는데, 성공한 사례를 설명해보라"
"5303","군의 물류와 SCM에 대해 차이가 무엇이라고 생각하는가?"
"5304","마케팅 석사를 취득했는데, 졸업 논문의 주제는 무엇이었는가?"
"5305","물류TF에서 무엇을 담당했는가?"
"5306","토익점수가 있는데, 외국인과 사업을 하는데 대화가 가능한가?"
"5307","SCM이 뭔가?"
"5308","결혼 후에 어떻게 할건가요?"
"5309","글로벌 인재를 채용하는데 어학연수는 필수적인 것인가 아닌가요?"
"5310","남자친구 있나요?"
"5311","머리가 좋은 거에요? 노력형이에요?"
"5312","생년월일, 혈액형, 종교가 뭔가요?취미는 뭐죠?"
"5313","어학연수를 안다녀 왔는데 특별한 이유가 있나요?"
"5314","지방 공장에서 근무해야 하는데 괜찮나요?"
"5315","친구랑 싸워본 경험 있나요?"
"5316","졸업을 왜 이렇게 늦게 하는가?"
"5317","휴학 전 후 달라진 점은 무엇인가?"
"5318","친환경 트렌드에 맞는 타이어 개발을 위한 재료를 제안하시오"
"5319","인생을 살아오면서 가장 어려움을 느꼈을 때와 그것을 어떻게 극복했는가?"
"5320","술 잘 마시나?"
"5321","운동 좋아하는가?"
"5322","취미가 무엇인가?"
"5323","회사에 아는 사람이 있는가?"
"5324","한국타이어에 대해서 검색은 해봤나? 어떤 회사라고 알고있는가?"
"5325","한정된 타이어 수량을 4개의 자동차 회사에 어떻게 배분할 것인가?"
"5326","본인의 취미와 특기를 말해보세요"
"5327","입사 후 포부를 말해보세요"
"5328","자기 소개를 해보세요"
"5329","자기소개해보세요"
"5330","지금하고 있는 분야를 한국타이어에 어떻게 기여 할 수 있는가?"
"5331","지원동기를 말해보세요"
"5332","은행에서 한화손해보험 상품이 보이던가요?"
"5333","방카마케팅에서 가장 필요한 것이 무엇일까요?"
"5334","당사가 가야할 방카의 방향은 무엇이라고 생각하나요?"
"5335","졸업후 1년간 공백기간 무엇을 했나요?"
"5336","레이다가 무엇인지 설명해보세요."
"5337","졸업논문에서 가장 큰 컨트리뷰션이 무엇이었는지 설명해보세요."
"5338","회사에 입사하게 되면 어떤 커리어를 쌓고싶나요?"
"5339","MATLAB, CATIA 등 프로그램은 많이 다루어보았나요?"
"5340","만도에 대해서는 어떻게 알게되었나요?"
"5341","다른 기업이 아닌 만도에 지원한 이유는 무엇인가요?"
"5342","밸브와 나사의 종류를 말해보세요."
"5343","본인을 형용사 한 단어로 표현해보세요."
"5344","삼각법에 대해 알고 있나요?"
"5345","생산 업무의 의미에 대해 말해보세요."
"5346","이화여대 라이프타운 사업에 대한 본인의 견해는 어떠한가요?"
"5347","절삭가공에 대해 아는 대로 말해보세요."
"5348","파스칼의 원리를 설명해보세요."
"5349","현재 졸업 유예 상태인데 1년 동안 무엇을 했나요?"
"5350","SNS의 장단점에 대해 본인의 견해를 말해보세요."
"5351","신입사원으로서 갖추어야 할 최우선 덕목은 무엇인가요?"
"5352","전자와 전류란 무엇인지 말해보세요."
"5353","만도에서 개발 및 생산하고 있는 제품에 대해 설명하라."
"5354","센서에 대해 아는 것이 있나?"
"5355","유리전이 온도에 대해 설명하시오."
"5356","자전거 국토종주를 하면서 있었던 문제와 극복 경험에 대해 말해보라."
"5357","만도가 납품하고 있는 회사를 알고 있냐?"
"5358","만도에 대해 알고 있었느냐? 만도가 뭐하는 회사이냐?"
"5359","만도에 들어와서 어느 분야에서 일하고 싶냐?"
"5360","열유체에 대해 알고 있는 것을 말해보시오."
"5361","전기자동차에서 사용하고 있는 전기 배터리의 치명적 약점에 대해 설명하라."
"5362","판교에 와본 적 있냐"
"5363","학교에서 프로젝트 뭐했냐?"
"5364","현재 자동차 산업에 대해 설명해보시오."
"5365","ecu 쪽에 관심있다고 했는데, ecu와 액츄에이터의 작동에 대해 설명해봐라."
"5366","만도의 주력 제품에 대해 설명하라."
"5367","미국 금리 인상과 폭스바겐 사태에 대해 설명하라."
"5368","공작기계에 대해서 알고 있는가?"
"5369","다른 회사에서 인턴하면서 무엇을 배웠는가?"
"5370","들은 과목 중에 직무랑 관련 있는 것 설명해 보시오."
"5371","메르스 사태에 대해 어떻게 생각하는가?"
"5372","산업공학이 어떤 학문인가"
"5373","왜 이 직무에 지원하였는가?"
"5374","지난 주말 뭐했는가?"
"5375","직무에 대해서 알고 있는가?"
"5376","취미는 무엇인가?"
"5377","kpop 열풍에 대해 본인의 생각을 이야기해보라."
"5378","SCM이란 무엇인가"
"5379","성격의 단점과 극복 방안에 대해 말해보세요."
"5380","여가 시간을 보내는 방법에 대해 말해보세요."
"5381","우리 공단의 개선점에 대해 말해보세요."
"5382","본인을 왜 뽑아야 하는지 말해보세요."
"5383","전공에서 배운 것을 기업에서 어떻게 발휘할 계획인가요?"
"5384","지원동기를 말해보세요."
"5385","체육계에서 가장 영향력 있는 사람은 누구라고 생각하나요?"
"5386","소통과 융합형 리더, 독재적 리더중 어떤 리더를 원하는가?"
"5387","회계의 어떤 부분이 마음에 들어서 지원하게 되었는지?"
"5388","지방근무 상관없는지?"
"5389","자기소개해보시오."
"5390","품질 직무에 관해 관심을 가지게 된 이유는 무엇인가?"
"5391","가장 자신있는 언어는 무엇인가요??"
"5392","OS scheduling가 무엇인지 알고 있나요?"
"5393","논문을 많이 썼는데, 다른 석사들도 논문을 이렇게 많이 작성하는가?"
"5394","연구한 분야를 한화테크윈에서 어떻게 사용할 수 있을 것 같은가? 어떻게 시너지를 창출할 수 있을 것인가?"
"5395","지원자가 채용 담당자면 누구를 뽑겠는가?"
"5396","지원자가 한 연구가 왜 필요하다고 생각하는가? 해당 연구가 지원한 직무와 어떤 관련성이 있는지, 또 어떻게 사용할 수 있는지 말해보시오."
"5397","지원자는 어떤 개발자가 되고 싶은가?"
"5398","지원자의 좌우명은 무엇인가?"
"5399","해외 학회에 발표하러 가봤는가?"
"5400","근무지가 창원인데, 잘 근무할 수 있는가?"
"5401","바이패스비가 무엇인가?"
"5402","성격의 장단점이 무엇인가?"
"5403","취미가 요리인데, 레시피 대로 만드는가? 아니면 자신만의 창작 요리를 만드는가?"
"5404","성적이 좋지 않은데, 그 이유가 있나요?"
"5405","지원 부분에 대해서 어떻게 기여할 수 있나요?"
"5406","구글이 구글글래스 사업을 중단한 이유가 무엇이라고 생각하는가?"
"5407","베르누이 방정식에 대해서 설명해보세요."
"5408","증기냉동사이클의 효율을 높이는 방법에 대해 설명해보세요."
"5409","구글이 구글글래스 사업을 중단한 이유가 무엇이라 생각하는가?"
"5410","지원자의 좌우명은 무엇인가?"
"5411","골프공의 딤플이 어떻게 항력을 줄여주는지 설명해보아라."
"5412","기술제조직에 지원했는데 어떤 일을 하는지 알고 있는가?"
"5413","노조에 대해 어떻게 생각하나요?"
"5414","동아리 생활 어떻게 하셨나요?"
"5415","본인의 취미는?"
"5416","1분 자기소개해보라"
"5417","입사는 내년 1월인데 가능하겠는가?"
"5418","결혼은 했는가?"
"5419","대기업과 중소기업의 상생에 관해 본인의 생각은 어떠한가?"
"5420","대학교 생활은 어떠한가?"
"5421","석사과정에 대해 소개해주세요"
"5422","엔진분야 연구개발 지원했는데 그 중 가장 자신있는 파트가 있다면 무엇인가?"
"5423","여자친구 생일인데 상사가 야근하자고 한다 어떻게 할 것인가?"
"5424","여자친구가 있는가? 무엇을 하는가?"
"5425","자기소개해보세요"
"5426","장교생활을 하면서 가장 힘들었던 것은 무엇인가?"
"5427","취미는 무엇인지?"
"5428","해외석사과정을 했는데 친구들이 많은가?"
"5429","결혼했는가?"
"5430","대기업과 중소기업의 상생에 대해 본인은 어떻게 생각하는가?"
"5431","대학교 생활에 대해 말해보세요"
"5432","대학원에서 공부한 과정과 학교 소개를 해보세요"
"5433","마지막으로 하고 싶은 말이 있는가?"
"5434","어느 부서에서 일하고 싶은가?"
"5435","엔진분야 연구개발 지원했는데 그중에서 가장 자신 있는 파트가 무엇인가?"
"5436","원하는 사업 부서가 있는가?"
"5437","자기소개를 해보세요"
"5438","장교생활을 하면서 가장 힘들었던 것은 무엇인가?"
"5439","취미는 무엇인가?"
"5440","해외석사과정을 했는데 친구들이 많은가?"
"5441","회사가 이윤을 많이 낸다면 어디에 그 돈을 써야한다고 생각하나?"
"5442","기술을 공부할 때 어떤식으로 공부하나요?"
"5443","프로세스와 스레드의 차이를 설명해보세요,"
"5444","왜 CONTEXT SWITCHING 작업이 오래걸리나요?"
"5445","기술을 공부할 때 어떤식으로 공부하나요?"
"5446","프로세스와 스레드의 차이는?"
"5447","왜 CONTEXT SWITCHING 작업이 오래걸리나요?"
"5448","n명 참가 토너먼트 경기에서 총 몇번의 경기를 해야하는지, 우승하려면 몇판이겨야 하는지 공식을 구해보세요."
"5449","러시안 룰렛6칸의 총 구멍에서 연속해서 2발의 총알을 장전했다. 상대편이 먼저 1판을 시도하여 생존했을때, 내가 생존하려면 바로 게임을 시도하는것이 유리한가, 총알을 회전시켜 무작위로 바꾸는것이 생존에 유리한가?"
"5450","퀵정렬의 시간복잡도는 어떤지 설명해 보세요."
"5451","100!의 끝자리에 0은 몇개나오는가?"
"5452","12명의 사람이 전부 악수하는 경우의수는 몇가지인가?"
"5453","그릇2개에 흰공 50개,빨간공50개를 마음대로 넣고 랜덤으로 그릇을 골라 공을 뽑았을때 흰공이 뽑힐 활률이 가장 큰 최적비율은?"
"5454","딥러닝으로 뭔가를 분류해주는 플랫폼을 만들건데 서비스할때 여러사람들이 그 플랫폼에 접근해서 이용하는 구조로 만들려면 어떻게 서비스 해야되나요?"
"5455","자바 string과 string builder 그리고 string buffer차이점을 말해보세요."
"5456","두사람이 손가락을 이용해서 표현할수 있는 숫자의 경우의수는?"
"5457","인트라넷 경험이 있으시네요?"
"5458","정렬을 손으로 코딩해보세요"
"5459","스프링의 aop와 ioc에 대해 설명해주세요"
"5460","네이버에서 인사팀이 무슨 역할을 할 수 있는가?"
"5461","삶의 철학은 무엇인가?"
"5462","왜 네이버에 지원했는가?"
"5463","IT에 관심이 많은가?"
"5464","네이버에 입사하면 무슨 일이 가장 하고 싶은가?"
"5465","네이버에서 시행 중인 인사 제도 중에 마음에 드는 게 무엇인가? 그리고 그 제도의 장점과 단점에 대해 설명해보시오."
"5466","네이버에서 지원한 직무를 수행하는 것이 본인에게는 어떤 의미인가?"
"5467","성격의 장단점을 이야기하시오."
"5468","왜 네이버에 지원했는가? IT에 관심이 많은가?"
"5469","인사 중에서도 어느 부분을 담당하고 싶은가?"
"5470","전공이 지원한 직무와 관련이 없는데, 왜 지원하였는가?"
"5471","직무를 위해 준비한 것에는 무엇이 있는지 말하시오."
"5472","채용, 인사기획 등 여러 업무가 있는데, 왜 하고 싶은가?"
"5473","취미는 무엇인가?"
"5474","학교를 다니고 있는 상태인가? 아니면, 수료 상태인 것인가?"
"5475","HTTP의 Keep/Alive에 대해 설명하세요"
"5476","REST에 대해 설명하세요"
"5477","봉사활동 경력에 대해 설명해 보시오."
"5478","프로젝트를 진행해야 하는데 성능 감소를 최소화 하기 위해선 어떻게 설계할 것인가?"
"5479","선배와 후배 중 더 일하기 편한 그룹은?"
"5480","가장 자주 이용하는 네이버 서비스는 무엇인가?"
"5481","어떤 매체가 중요하다고 생각하는가?"
"5482","홍보업무를 수행하는데 있어 가장 중요한 역량은 무엇이라고 생각하는가?"
"5483","OO서비스 많이 이용해 보셨나요? (네이버 자사 서비스)"
"5484","10000원을 실제로 표시할 때는 10,000원으로 ,을 넣어 구분하는데 그 것을 출력하는 로직 만들기"
"5485","10년뒤에 사용될 서비스 기획"
"5486","다른 곳에도 있는 서비스 아닌가?"
"5487","서비스 타깃의 폭이 좁지 않은가?"
"5488","최소비용 신장트리를 구하는 방법은?"
"5489","C언어의 프로세스 공간에 대해 설명하시오"
"5490","앞으로 네이버가 나아갈 방향은?"
"5491","어떻게 외부 컨텐츠 공급자로부터 협력을 얻을 것인가? 그들에게 줄 수 있는 이점이 있는가?"
"5492","왜 네이버에 지원했는가?"
"5493","이용해본 네이버 서비스와 개선해야 할 점은?"
"5494","나는 입사하여 어떻게 할건지?"
"5495","본인이 IT에 관심이 있으신 분은 본인 얘기해주세요?"
"5496","인턴을 하며 느낀 점을 말씀해주세요."
"5497","입사 후 포부? 직장인으로서 가져야 할 가치관?에 대해 영어 혹은 본인이 자신 있는 언어로 3~4문장 수준으로 대답해주세요."
"5498","재무 직무가 어떤 직무인지, 네이버 재무팀은 어떤 일을 하는지?"
"5499","5천만명의 회원을 수용할 수 있는 서버 및 데이터베이스 수 계산"
"5500","자기소개"
"5501","퀵소트 짜기"
"5502","UTF-8 해당하는 언어셋의 문자열수를 계산하는 함수 짜기"
"5503","네이버의 상황을 SWOT툴을 사용하여 분석해보시오"
"5504","자신의 어떤 점이 이 직무에 도움이 될 것이라 생각하는가"
"5505","지원동기"
"5506","석사 논문에 대해 설명해달라 (기타 통계방법론 등)"
"5507","영어 외에 할 줄 아는 제2외국어 있는가?"
"5508","이 부서에 들어와서 이 업무를 하고 싶은 이유가 무엇인가?"
"5509","현재 다른 회사에서 인턴을 하고 있는데, 만약 우리 회사 채용에 떨어지면 어떡하나?"
"5510","본인이 가장 잘하는 것과 못하는 것이 무엇입니까"
"5511","직장상사와 의견충돌이 발생하였을 경우, 어떻게 해결할것인가?"
"5512","기획에서 내려온 내용이 맘에 들지 않는다면 개발자의 입장에서 어떻게 처리할 것인가?"
"5513","네이버에서 가장 불편하다고 느끼던 서비스가 무엇이며 그 이유는 무엇인가?"
"5514","100! = 100 * 99 * ... * 2 * 1 = xx…x00..0 = xx…x * 10^n 이 때 n의 값은?"
"5515","지원직종에 해당하는 서비스 개선안 제시"
"5516","직전회사를 그만두고 네이버를 지원한 이유는?"
"5517","경영지원직에 지원을 한 동기를 말해보세요."
"5518","광고 공모전 수상 경험이 많은데 광고 분야로 취직 안 하고 NBP를 선택한 이유는 무엇인가?"
"5519","마지막으로 하고 싶은 말을 해보세요"
"5520","인턴을 통해 배운 것을 구체적으로 말해보세요"
"5521","NBP에 들어와서 어떤 일을 하고 싶은가? 그걸 할 수 있다고 증명할 수 있는 경험을 이야기해 보세요"
"5522","NHN 지식쇼핑에서 일하는 것은 어떻게 생각하는가?"
"5523","경력이 있는데 경력을 무시하고 인턴쉽이 가능하겠는가?"
"5524","라그나로크의 성공 요인이 무엇이라 생각하는가?"
"5525","마지막으로 하고싶은 말을 해보세요"
"5526","소셜 네트워크게임으로 테라를 만든다고 하였는데 정확히 어떻게 구현 되는지 말해보세요"
"5527","테라가 20레벨이 넘어가면 대형 몬스터로 인해 조작이 어려워 지는데 모바일로 구현 가능한가?"
"5528","테라는 몇 레벨까지 올려봤는가?"
"5529","입사하게 된다면 하고 싶은 업무가 무엇인가?"
"5530","전 직장에서 하던 업무가 무엇인가?"
"5531","지원 동기를 말해보라"
"5532","한게임 게임 중 해본 것이 있는가?"
"5533","한게임이 RPG를 꼭 해야 하는가?"
"5534","회사에 궁금한 점이 있는가??"
"5535","자신이 발주를 넣는 점주와 불화가 생기면 어떻게 해결하실 건가요?"
"5536","누군가에게 내가 조언을 해주었는데, 내 조언을 따르지 않고 자기 마음대로 한다면 당신은 어떻게 행동하시겠습니까?"
"5537","본인과 가치관이 다른 사람과 일할 수 있나요?"
"5538","SCM과 관련하여 어떠한 지식을 쌓았나요?"
"5539","SCM비효율을 개선 하는 방법은?"
"5540","직무를 수행하는데 있어 가장 중요한 부분이 무엇이라 생각하나요?"
"5541","자신의 강점은?"
"5542","KT&G에서 이루고 싶은 목표는 무엇인가요?"
"5543","안정적인 회사와 혁신적인 회사 중에 어느것을 추구하나요?"
"5544","지원직무 아닌 타직무에 배치된다면 괜찮은가요?"
"5545","당사에 지원한 이유는 무엇인가요?"
"5546","납기가 맞추어져있는데, 제품 생산중 품질이슈가 있다. 납기와 품질중 어떤 것이 우선인지?"
"5547","자기소개를 해보세요."
"5548","지원동기를 말해보세요."
"5549","마지막으로 할 말은?"
"5550","곤란했던 경험을 어떻게 극복했는가?"
"5551","금연 권장 프로그램에 대해 어떻게 생각하는가?"
"5552","담뱃값 인상에 대한 견해를 말해보아라."
"5553","생활신조가 무엇인가?"
"5554","현재 KT&G에서 진행하고 있는 사업들에 대해 말해보아라."
"5555","가장 친한 친구가 누구인가?"
"5556","그 친구로부터 배울 점은 무엇인가?"
"5557","본인의 가장 큰 장점이라고 생각이 드는점 에 대해서 3가지만 말해보세요"
"5558","자기에 대하여 설명하여 보고 세가지 키워드를 들어 말하여라"
"5559","건축을 선택한 계기는 무엇인가요?"
"5560","좋아하는 건축물과 그 이유는 무엇인가요?"
"5561","최근 읽은 책에 대해 말해보세요"
"5562","현장에서 잘 버틸 수 있나요?"
"5563","건설회사에 지원한 동기와 해당 직무에 지원한 동기를 말해보세요"
"5564","본인은 얼마를 가지고 있어야 행복하다고 생각하나요?"
"5565","취미가 헬스인데, 몸이 별로다. 그 이유는 무엇인가?"
"5566","특기가 축구인데, 본인에 대한 점수를 준다면 몇 점을 줄 것인가?"
"5567","KCC에 들어와서 하고 싶은 일은 무엇인가?"
"5568","좋아하는 건축물을 말해주세요."
"5569","KCC건설을 영어로 설명해보세요."
"5570","다른 회사에도 지원했나요?"
"5571","면접을 위해 준비한 것들을 말해보세요."
"5572","입사 후에도 토익 점수가 중요할까요?"
"5573","입사하게 된다면 어떤 직무로 일하기를 희망하나요?"
"5574","준비했던 자기소개말고 다른 방식으로 본인을 표현해보세요."
"5575","시공 업무 중에서 현장과 공무 둘 중 무엇을 선택할 것인가요?"
"5576","압밀과 다짐의 차이를 설명해주세요."
"5577","현장 인부들과 마찰이 있을시 어떻게 대응할 것인가요?"
"5578","1분 동안 자기소개해보세요"
"5579","교량을 건설하다 보면 처음 예상했던 곳에서 연결부위가 오차가 생길 수 있는데 어떻게 대처하겠는가?"
"5580","마지막으로 하고 싶은 말을 하세요"
"5581","사장교와 현수교의 차이점을 설명하세요"
"5582","서울시 무료급식에 대해 자신의 의견을 말해보세요"
"5583","서중콘크리트와 한중콘크리트의 차이점을 말해보세요"
"5584","요즘 4학년 학생들이 듣는 과목은 무엇인가?"
"5585","전공과목보다 교양과목을 많이 들은 이유는 무엇인가?"
"5586","추운지방에서 시멘트를 끓여서 사용하는 이유는 무엇인가?"
"5587","CAD를 다룰 줄 아는가?"
"5588","지원동기는 무엇인가요?"
"5589","본인의 장점은 무엇인가요?"
"5590","스트레스 푸는 방법은?"
"5591","아르바이트를 오래 했는데, 거기서 느낀점은?"
"5592","코레일 직원으로서 가져야 할 사명감이 뭐라고 생각하나요?"
"5593","마지막으로 할 말은?"
"5594","간단한 자기소개 해보세요."
"5595","본인이 소속했던 집단의 좋은점을 말해보세요."
"5596","본인이 단체 활동을 할 때 문제있던 사람을 어떻게 이끌었나요?"
"5597","돌발 상황에 대처한 경험이 있나요?"
"5598","다른 지원자보다 뛰어나다고 생각하는 부분이 있나요?"
"5599","타인과 문제를 해결한 경험?"
"5600","팀 과제나 프로젝트를 하면서 어려움이 있었던 경우에 대해 말해보세요."
"5601","작고 사소한 경험을 발전시킨 사례에 대해 말해보세요."
"5602","이끌어가기 힘든 인원이 있을때 어떻게 하겠는가?"
